Day of year,Year,kms_open,FoppaSpalegna,FoppaFlims,LaSialaOstGrauberg,VerbindungLaSialaOstGrauberg,GraubergPuntDesch,PuntDeschPuntGronda,PuntGrondaFlims,VeinFlimsTalstation,LaSialaMuttaRodunda,MuttaRodundaTraverseGrauberg,TraverseGraubergNagens,VerbindungTraverseGraubergNagens,NagensAlpNagens,NagensScansinas,MuttaRodundaGrauberg,MuttaRodundaScansinas,ScansinasAbzweigungPlaun,AbzweigungPlaunRunca,GraubergNagens,VerbindungVorabNagens,MuttaRodundaSognMartin,NagensGallerie,NagensVerbindungsliftLaSiala,VerbindungsliftLaSialaSognMartin,SialaWest,LaSialaVorab,VerbindungVorabScansinas,VorabSognMartin,VorabFuorcla,FuorcladaSagognSognMartin,SognMartinPlaun,CrapMasegnPlaun,CrapMasegnFuorcla,CrestlaSialaFuorcla,CrapMasegnTreisPalas,TreisPalasAlpDado,CrestlaSialaTreisPalas,CrestlaSialaCrapSognGion,CrestlaSialaCrapSonGion,CrestlaSialaAlpDado,CrapSognGionCrapLift,CrapLift,CrapLiftTalAlpDado,AlpDadoCurnius,CurniusFalera,SteilhangAlpDado,P60,CrapSognGionMuletgGrond,MuletgGrondCurnius,CrapSognGionPlaun,TalabfahrtFalera,TalabfahrtFlims,TalabfahrtLaax,CrapSognGion,KugelliftCrap,FaleraKinderland,FlimsKinderland,LaaxMurschetg,NagensKinderland,Superpipe,Spalegna,SpalegnaliftBergFoppa,LaSialaGrauberg,NarausFoppa,FlimsOberdorf,PuntGrondaFlimsWaldhaus,PuntDeschTarschlims,SialaWestFuorcla,VorabSattelLavadinas,FuorcladaSagognFuorcla,CrestlaSialaPlaun,CrapMasegnLavadinas,MuletgGrondLaaxMurschetg,LaSialaSognMartin,VorabPignFuorcla,CrapMasegnFalera,FuorcladaSagognLavadinas,CrapMasegnLadir,Free60
43,2023,128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2023,128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2023,128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2023,126,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2023,128,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2023,127,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2023,127,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2023,125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2023,125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2023,125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
